,Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Sales Method
0,Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750.0,Outlet
1,Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women,Apparel,45,225,101250.0,Outlet
2,Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,45,475,213750.0,Outlet
3,Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,125,56250.0,Outlet
4,Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,35,175,61250.0,Outlet
5,Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,50,20000.0,Outlet
6,Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750.0,Outlet
7,Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,45,225,101250.0,Outlet
8,Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,50,445,222500.0,Outlet
9,Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,150,75000.0,Outlet
10,Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,40,175,70000.0,Outlet
11,Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,25,11250.0,Outlet
12,Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,75,45000.0,Outlet
13,Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,175,87500.0,Outlet
14,Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,50,450,225000.0,Outlet
15,Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,150,75000.0,Outlet
16,Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,40,150,60000.0,Outlet
17,Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,75,33750.0,Outlet
18,Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,75,45000.0,Outlet
19,Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,200,100000.0,Outlet
20,Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,470,282000.0,Outlet
21,Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,175,105000.0,Outlet
22,Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,150,82500.0,Outlet
23,Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,100,55000.0,Outlet
24,Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,125,81250.0,Outlet
25,Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,250,175000.0,Outlet
26,Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000.0,Outlet
27,Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,250,150000.0,Outlet
